Accession	Mann P	Student P	log2FC	c_median	a_median	a1	a2	a3	c1	c2	c3
Q71UI9|H2AV_HUMAN	0.08085559837005224	0.0002851209934569679	-0.6566451715352208	13.88526066817094	13.228615496635719	13.259777352253764	13.228615496635719	13.0947085618017	13.88526066817094	13.835447807388217	13.933307434287757
Q8N684|CPSF7_HUMAN	1.0	0.6722225359996256	-0.09758364561654886	12.899919228349583	12.802335582733035	12.802335582733035	12.671034685655824	12.906617049349522	12.899919228349583	13.08003377349252	12.609374289959431
E9PGT6|E9PGT6_HUMAN	1.0	0.8072575430416215	-0.157211291522799	14.534296224688637	14.377084933165838	13.853529208497378	14.377084933165838	14.829844952734154	15.01972128426679	14.534296224688637	13.851199924325662
Q9C010|IPKB_HUMAN	1.0	0.9517145027512668	0.22066365333486715	10.035507758207833	10.2561714115427	8.794565944318457	10.2561714115427	11.129994914325636	10.415494239309218	9.590200033892074	10.035507758207833
Q9NVM6|DJC17_HUMAN	1.0	0.8215141038420395	-0.11540212353596502	10.358583130012235	10.24318100647627	10.124522069421355	10.24318100647627	10.391493971432546	10.68977438876219	9.433562074100148	10.358583130012235
A0A3B3IU04|A0A3B3IU04_HUMAN	0.6625205835400574	0.4494201014246999	-0.09683240630695344	12.173224583704773	12.07639217739782	12.856563867809614	12.07639217739782	8.177014230765442	12.173224583704773	13.072392322852792	11.64828409707302
J3KN16|J3KN16_HUMAN	0.6625205835400574	0.7370194623359365	0.07923915744962606	13.724194604468948	13.803433761918575	13.69309617467152	13.803433761918575	14.32672352284404	13.670966494763825	13.724194604468948	14.158962232925111
A6NHL2|TBAL3_HUMAN	0.6625205835400574	0.5134541115815958	0.7841541644218051	8.979839594441668	9.763993758863473	10.315092997083603	9.763993758863473	8.702209020732656	8.979839594441668	10.173595381268022	7.877639080271901
A0A6Q8PF33|A0A6Q8PF33_HUMAN	1.0	0.6772845948839046	-0.33575126278493883	12.904340991683295	12.568589728898356	11.341951066642528	12.568589728898356	13.081969525117694	13.022555593923663	11.90687949357662	12.904340991683295
P52926|HMGA2_HUMAN	0.19043026382552397	0.12725308945557703	-0.2609880522707453	14.921266905416262	14.660278853145517	14.660278853145517	14.63683207233369	14.91596539098966	14.921266905416262	15.005917413399766	14.857364234580631
Q9BWM7|SFXN3_HUMAN	0.19043026382552397	0.22013067208557097	-0.13859626722669915	15.062306476654596	14.923710209427897	14.706674644118495	14.923710209427897	15.00119104804969	15.062306476654596	15.066687462683323	14.932052333499295
P62995|TRA2B_HUMAN	0.6625205835400574	0.6037844120877356	0.18678240726190154	13.968810902521204	14.155593309783105	13.937860261512089	14.155593309783105	14.494328005787924	13.968810902521204	14.406082605041291	13.805102072662972
Q14160|SCRIB_HUMAN	0.19043026382552397	0.23405684565333892	-0.028805612088495636	14.040432716118271	14.011627104029776	14.033006170407221	13.879733091823475	14.011627104029776	14.028657636243217	14.060291552305387	14.040432716118271
Q9Y624|JAM1_HUMAN	0.6625205835400574	0.6617289291703203	-0.15079355901256264	14.934194399289296	14.783400840276734	14.404402404677576	14.783400840276734	15.552389320101115	15.432127486879203	14.909084106079131	14.934194399289296
G5E9W9|G5E9W9_HUMAN	0.08085559837005224	0.00685163866445684	-0.3857025452502114	13.479584948998331	13.09388240374812	12.94401107475544	13.09388240374812	13.14707674329971	13.479584948998331	13.361929659153544	13.511699725157358
Q14573|ITPR3_HUMAN	1.0	0.7260182178054662	-0.11519503962972699	15.22458657614472	15.109391536514993	14.874456229791415	15.109391536514993	15.553322145596319	15.064531324891648	15.22458657614472	15.517918775189283
O15211|RGL2_HUMAN	0.6625205835400574	0.6904317139394753	-0.07451947127910863	12.963636632958721	12.889117161679613	12.889117161679613	13.36508665092072	12.860141737853029	13.633954479304288	12.887156248810271	12.963636632958721
A0A6I8PLD9|A0A6I8PLD9_HUMAN	0.19043026382552397	0.19043395914881123	0.46217812121617285	9.708833689255956	10.171011810472129	9.777251402235965	10.171011810472129	10.321337088791084	9.594904551532723	9.708833689255956	10.00569808547161
A0A0A0MRR7|A0A0A0MRR7_HUMAN	1.0	0.7728577030792818	0.000596687697933973	13.198974520793875	13.19957120849181	12.926833856286056	13.19957120849181	13.356707252935381	14.094242792539287	12.606990708684656	13.198974520793875
Q9Y5K8|VATD_HUMAN	0.38273308888522595	0.22525069482247234	0.21749982029064263	13.326147999298907	13.54364781958955	13.280105515804005	13.54364781958955	13.770993406221885	13.438373106224969	13.326147999298907	12.975939566205323
P54886|P5CS_HUMAN	0.6625205835400574	0.7719999476720221	-0.14551200273647247	15.072612431543424	14.927100428806952	14.949850164391728	14.927100428806952	14.717436551863083	15.293879648236693	15.072612431543424	14.467667412202653
A0A1W2PPJ9|A0A1W2PPJ9_HUMAN	0.6625205835400574	0.5558184735811218	0.051926131049471635	8.825449316580952	8.877375447630424	8.567843240466043	8.877375447630424	9.725448829159033	8.870038534986948	8.807801814572287	8.825449316580952
A0A2R8Y4S2|A0A2R8Y4S2_HUMAN	0.08085559837005224	0.007139121587529867	-0.3263022768577546	10.474135095484566	10.147832818626812	10.238003762477142	10.147832818626812	10.106732520752104	10.475281606206341	10.474135095484566	10.36244101220459
P54852|EMP3_HUMAN	0.6625205835400574	0.6111687019391648	0.25687210164018026	9.93901895201275	10.19589105365293	10.179604412888288	10.19589105365293	10.313588931840865	10.503303809275213	9.93901895201275	9.92425532575653
P16083|NQO2_HUMAN	0.6625205835400574	0.7052063311761785	0.03312059691358904	13.128025303454436	13.161145900368025	13.161145900368025	13.728076008002137	12.883317340230832	13.648110651038053	13.128025303454436	12.486936383665935
O00423|EMAL1_HUMAN	0.6625205835400574	0.7134084090405777	0.23436191235485637	13.004687633519417	13.239049545874273	13.401629866663303	13.239049545874273	12.641218991442765	12.823049396118378	13.157649702161594	13.004687633519417
P11177|ODPB_HUMAN	0.6625205835400574	0.6084834795583562	-0.07805522112051833	16.018761926635143	15.940706705514625	15.826269737600045	15.999733531615036	15.940706705514625	16.340479427036218	16.018761926635143	15.718328511013356
Q10588|BST1_HUMAN	1.0	0.7334497920029015	0.05814486458804424	14.354248107600796	14.41239297218884	14.218889894259233	14.41239297218884	14.578911095207332	14.259671664054071	14.354248107600796	14.465056072144819
Q9NYT0|PLEK2_HUMAN	0.6625205835400574	0.40738453382245055	-0.18535795509056285	11.372524637490985	11.187166682400422	11.214721634851653	11.16458228376779	11.187166682400422	11.379335800440973	11.372524637490985	11.085900556741631
P02458|CO2A1_HUMAN	0.08085559837005224	0.13259792106852722	0.33766663326115953	10.932374739010905	11.270041372272065	11.510964094391618	11.059276854036957	11.270041372272065	10.932374739010905	10.191167998768824	11.038798391677407
A0A7I2YQU3|A0A7I2YQU3_HUMAN	1.0	0.9659925556400624	-0.047727966704627534	9.881360888237861	9.833632921533233	10.138530297210862	9.833632921533233	9.718803717708832	9.881360888237861	10.82180371234104	9.059165025456375
Q9NV06|DCA13_HUMAN	0.19043026382552397	0.258296516250482	0.28607464993819853	12.335070737774751	12.62114538771295	12.62114538771295	12.752192665778843	12.371669254832929	11.525597248374423	12.335070737774751	12.56413956784982
